"adaptive_moves","a_star_moves","reverse_moves"
"38","38","40"
"null","null","null"
"14","18","23"
"11","11","14"
"49","39","44"
"1","1","2"
"12","12","15"
"23","23","49"
"19","31","34"
"18","18","21"
"13","21","36"
"20","14","17"
"12","14","16"
"31","37","53"
"2","2","3"
"38","36","56"
"13","15","22"
"10","12","15"
"23","21","48"
"19","25","40"
"28","20","24"
"19","25","40"
"7","7","14"
"6","6","9"
"1","1","2"
"6","6","13"
"6","8","7"
"13","13","51"
"23","35","39"
"16","18","31"
"16","14","29"
"27","21","27"
"16","30","33"
"15","13","38"
"13","17","22"
"25","23","49"
"12","20","46"
"25","27","56"
"10","12","14"
"23","23","49"
"17","19","32"
"19","33","34"
"16","16","20"
"28","36","56"
"16","22","37"
"15","15","30"
"13","19","45"
"20","16","25"
"23","17","23"
"24","24","50"
"5","5","7"
"22","18","25"
"15","21","36"
"13","13","18"
"28","36","51"
"21","23","40"
"34","34","52"
"21","15","40"
"22","32","35"
"1","1","2"
"12","18","23"
"32","22","29"
"9","9","14"
"18","20","36"
"null","null","null"
"21","15","40"
"19","19","32"
"22","36","40"
"17","13","16"
"12","12","20"
"45","35","53"
"12","12","21"
"21","19","25"
"29","31","46"
"22","38","42"
"24","22","39"
"11","11","26"
"33","27","56"
"31","27","55"
"19","23","38"
"9","9","18"
"23","35","39"
"29","27","36"
"22","16","21"
"32","38","61"
"33","35","55"
"6","6","13"
"16","16","22"
"7","7","9"
"15","15","20"
"15","13","28"
"37","37","57"
"5","5","7"
"3","3","4"
"21","15","43"
"24","34","38"
"27","35","55"
"17","19","33"
"20","22","49"
"15","13","38"
